StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q6_1,Q6_2,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q13,Q14,Q15_1,Q16,Q17,Q18_1,Q19,Q20,Q21,Q22_1,Q22_2,Q23,Q24,Q25_1,Q25_2,Q26,Q27,Q28_1,Q28_2,Q29,Q30,Q32,Q33,Q34,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your role?,What kind of team are you on?,Did you attend the Chart-Making Office hours yesterday?,[Optional Session] Chart Making Office Hours (Teaching Fellows) - Importance of Topic,[Optional Session] Chart Making Office Hours (Teaching Fellows) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,"Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett)In this session, we practiced as - Importance of Topic","Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett)In this session, we practiced as - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,[Team Session] Giving and Receiving Feedback I (Tuning Protocol) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Discussing a Data Overview (Team Time)
In this morning team session, the objectives were to: 
 


	Check in about our norms and team process
	Review feedback from the Tuning Protocol
	Apply principles of responsible data use to help our faculty discuss our data charts
	Determine when we will be discussing our data overview and with whom
	Plan our data overview meeting. - Value of Session",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Strategic Planning and Coherence II (Team Time) 
In this session, we checked in about our norms, reviewed feedback from the Tuning Protocol, and analyzed the forces working for and against using Data Wise to bring coherence to our system. - Value of Session",What worked well about this session?,What would you have liked to change about this session?,Which Step 4 case did you participate in?,"[Case Session] Step 4 Case Discussion: Digging into Data, Elementary School (Penny Jayne and Rob Wessman)

In this session we looked at student work and practiced identifying a learner centered problem. - Importance of Topic","[Case Session] Step 4 Case Discussion: Digging into Data, Elementary School (Penny Jayne and Rob Wessman)

In this session we looked at student work and practiced identifying a learner centered problem. - Quality of Instruction",What worked well about this Case Discussion? (Elementary),What would you have liked to change about this Case Discussion? (Elementary),"[Case Session] Step 4 Case Discussion: Digging into Data, High School (Stefanie Fox Manno and Robert Rosenheim)
In this session we looked at student work and practiced identifying a learner centered problem. - Importance of Topic","[Case Session] Step 4 Case Discussion: Digging into Data, High School (Stefanie Fox Manno and Robert Rosenheim)
In this session we looked at student work and practiced identifying a learner centered problem. - Quality of Instruction",What worked well about this Case Discussion? (High School),What would you have liked to change about this Case Discussion? (High School),"[Faculty Session] Learning to See (Elizabeth City)

In this session, we started with a Rock/Paper/Scissors tournament then practiced maintaining a relentless focus on evidence when looking at practice and used the Objectivity/Specificity Matrix to improve the quality of data we collect. We also discussed the importance of paying attention to task when observing practice. - Importance of Topic","[Faculty Session] Learning to See (Elizabeth City)

In this session, we started with a Rock/Paper/Scissors tournament then practiced maintaining a relentless focus on evidence when looking at practice and used the Objectivity/Specificity Matrix to improve the quality of data we collect. We also discussed the importance of paying attention to task when observing practice. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,Today's sessions helped me articulate how and why equity is central to the work of school improvement.,Please provide any feedback about the support you are receiving around this equity objective.,Today's sessions helped me build skills to integrate equity at each step of the improvement process.,Please provide any feedback you have about the support you are receiving around this equity objective.
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID90_TEXT""}"
2019-06-19 18:47:08,2019-06-19 20:29:11,IP Address,67.134.206.34,100,6122,True,2019-06-19 20:29:11,R_DoZ8ILJXa8EVWnL,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,System Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,,,,"Completely
Satisfied",Great to have supported time to work on our plan.,,Elementary Case,"Moderately
Satisfied","Moderately
Dissatisfied",table discussions.,"required much more depth? ",,,,,"Completely
Satisfied","Completely
Satisfied","excellent interaction. ",,Strongly Agree,,Somewhat Agree,
2019-06-19 20:02:11,2019-06-19 20:30:13,IP Address,67.134.206.45,100,1681,True,2019-06-19 20:30:13,R_3KJ9bxNT77AxR98,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,System Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",Providing real experiences and addressing the topic that was left out from equity work.,Nothing at this time. It was an improvement from the previous two days.,"Completely
Satisfied","Paring teams with other teams to complete the tuning process. Moving Team Session to the morning when participants are more energized. Allowed for a fresh look, focus on the process. Also, the Teaching Fellow did a great job facilitating but also providing feedback on our participation in the process.",Nothing at this time. This was an extremely beneficial process for our team.,,,,"Completely
Satisfied",Making this a priority as an agenda item. The team time allowed us to continue to develop our process for implementation in our own district with more feedback from outside sources to help reach the goal of sustainability. The notice/wonder/ and pluses/deltas format is a highly effective strategy for our system. The observation notes from the teaching fellow was also highly useful.,"The only issue we encountered was domination of conversation due to note taker taking notes and therefore not completing focused or able to contribute. I do not know that there is something in the session that can be changed to address this but maybe share that it is a universal and inevitable delta. Also, as our teaching fellow did, perhaps provide a strategy upfront to limit it. His recommendation was for the facilitator to solicit from note taker or pause to allow opportunity.",High School Case,,,,,"Completely
Satisfied","Completely
Satisfied","The reiteration of always ensuring that the data and problem statement should be focused on the why. Also, making sure the the problem statement is specific in order to address one of may possible problem statements. Also, the idea of experiencing the process as opposed to getting the right answer.",More involvement of the presenter.,"Moderately
Satisfied","Moderately
Satisfied",Time to practice what was taught. Focus on student.,More clarification on Specific/General/Judgmental/Descriptive,Strongly Agree,"The greatest impact received regarding equity is the open discuss across status levels of professionals without judgment. ",Strongly Agree,"The facilitor support has been highly effective at building the skills for integration. He has been motivating, honest and supportive by addressing when we are out of focus but also by sharing personal experiences."
2019-06-19 20:43:05,2019-06-19 20:44:42,IP Address,67.134.206.39,100,96,True,2019-06-19 20:44:42,R_3KxUywAQY1XIzUk,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,"Completely
Satisfied",,,,,,High School Case,,,,,"Moderately
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,Strongly Agree,,Strongly Agree,
2019-06-19 20:26:43,2019-06-19 20:44:51,IP Address,67.134.206.46,100,1087,True,2019-06-19 20:44:52,R_3FQXcIiIFIXntBS,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,School Team,Yes,"Completely
Satisfied","Completely
Satisfied",Personalized and enthusiastic help.,We didn't think we were ready for this but we were! Encouraging was great.,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Excellent presenters,,,,,,"Completely
Satisfied","Completely
Satisfied","Hands on learning
",,Somewhat Agree,"Courageous Conversations ",Strongly Agree,Teaching Fellows and Mentors
2019-06-19 20:43:29,2019-06-19 20:45:12,IP Address,67.134.206.33,100,102,True,2019-06-19 20:45:12,R_1gRAalLf8qHu4Ur,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly Agree,,Strongly Agree,
2019-06-19 20:42:52,2019-06-19 20:47:44,IP Address,65.112.8.138,100,292,True,2019-06-19 20:47:45,R_1gc0fqtrHzcWv5V,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",Lots of great learning.,,"Completely
Satisfied",This was very helpful.,We needed more time- we had 3 groups.,"Completely
Satisfied",We accomplished a lot and solidified our plan.,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",It was very helpful to work together with our group.,,"Completely
Satisfied","Completely
Satisfied",Lots of information...,More time on objectivity and specificity- a little confusing.,Somewhat Agree,,Somewhat Agree,
2019-06-19 20:28:13,2019-06-19 20:49:37,IP Address,65.112.8.137,100,1283,True,2019-06-19 20:49:37,R_0PU2uWAHueI3y3T,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,School Team,Yes,"Completely
Satisfied","Completely
Satisfied","Small group instruction. ","Better description of what is being offered. ","Completely
Satisfied","Completely
Satisfied",Reviewing the norms,n/a,"Moderately
Satisfied",Getting feedback from other teams,"More time ","Completely
Satisfied",Loved that it was directly after the feedback session,Time,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Really enjoyed diving into data,giving context for the student samples if math was not your background.,,,,,"Completely
Satisfied","Completely
Satisfied","Rock, paper, scissors was great as well as the content",n/a,Strongly Agree,"Teaching Fellow is great! ",Strongly Agree,
2019-06-19 20:48:31,2019-06-19 20:49:50,IP Address,67.134.206.36,100,79,True,2019-06-19 20:49:50,R_1FPTN8o5wLYOphT,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Participant,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly Agree,,Somewhat Agree,
