StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q5,Q6,Q62_1,Q62_2,Q63,Q64,Q7_1,Q8,Q9,Q10_1,Q10_2,Q11,Q12,Q16_1,Q17,Q18,Q23,Q24,Q25,Q26,Q30,Q31,Q32,Q33,Q34,Q36,Q37
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,[Faculty Session] Setting the Context: Exemplar Academy Part II (Rob Wessman) - Importance of Topic,[Faculty Session] Setting the Context: Exemplar Academy Part II (Rob Wessman) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] From Inquiry to Action: Creating an Action Plan (Rob Wessman) - Importance of Topic,[Faculty Session] From Inquiry to Action: Creating an Action Plan (Rob Wessman) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Protocols for Selecting Instructional Strategies (Team Meeting 2) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Goal Setting and Planning to Assess Progress & Acting, Assessing, and Adjusting (Matt Presser & Monique Davis) - Importance of Topic","[Faculty Session] Goal Setting and Planning to Assess Progress & Acting, Assessing, and Adjusting (Matt Presser & Monique Davis) - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,[Team Session] Team Time and Team Check-Ins with Coaches (Team Meeting 3) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build skills to use Data Wise tools to foster equitable practices at each step of the improvement process,We have a big-picture plan for completing our School Improvement Plan using the Data Wise Process.,"As you think ahead to the virtual coaching sessions over the next couple of months, what do you imagine you might want to get support on?","At this point, how would you rate the overall quality of the Data Wise Workshop?","At this point, to what extent did you find this program professionally useful?","At this point, how much do you intend to modify your professional practice, based on your experience in this program?","On a scale of 0 to 10, how likely is it that you would recommend this program to a friend or colleague from what you have experienced so far?",Please provide any other overall feedback on this institute.,"How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID106_2""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID96""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}"
2020-03-05 19:33:02,2020-03-05 19:33:43,IP Address,192.91.198.2,100,40,True,2020-03-05 19:33:43,R_Ti2UbhwGXHvR7nr,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Strongly Agree,,Excellent,A Great Deal,A Great Deal,9,,Completely Satisfied,
2020-03-05 19:35:20,2020-03-05 19:36:11,IP Address,192.91.198.2,100,50,True,2020-03-05 19:36:11,R_3oWPpAtLEXNvixN,,,,,40.472503662109375,-79.91089630126953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Strongly Agree,,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),,Completely Satisfied,
2020-03-05 19:35:52,2020-03-05 19:37:17,Spam,192.91.198.2,100,84,True,2020-03-05 19:37:17,R_PMaKb1oJFQ6ZqlX,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Strongly Agree,,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),,Completely Satisfied,
2020-03-05 19:35:53,2020-03-05 19:37:22,Spam,192.91.198.2,100,88,True,2020-03-05 19:37:22,R_VVvITgKz5I0Z7VL,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Strongly Agree,,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),,Completely Satisfied,
2020-03-05 19:35:31,2020-03-05 19:37:35,IP Address,192.91.198.2,100,124,True,2020-03-05 19:37:36,R_PteiJOVJl16j8g9,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Neutral,Somewhat Agree,Neutral,,Very Good,Quite A Bit,Quite A Bit,7,,Completely Satisfied,
2020-03-05 19:36:41,2020-03-05 19:39:31,IP Address,192.91.198.2,100,170,True,2020-03-05 19:39:31,R_2xFzlvm4eN35bIo,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Completely Satisfied,Completely Satisfied,Team Time,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Strongly Agree,,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),,Completely Satisfied,
2020-03-05 19:38:03,2020-03-05 19:39:42,IP Address,192.91.198.2,100,98,True,2020-03-05 19:39:42,R_6Gz8jMv8zOFfumd,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Strongly Agree,The district and state are not connected,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),,Moderately Satisfied,
2020-03-05 19:36:01,2020-03-05 19:39:42,IP Address,192.91.198.2,100,221,True,2020-03-05 19:39:42,R_1FhUY7u78mnTxh8,,,,,40.37750244140625,-79.9613037109375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Working in the document and being able to focus on our individual school's plan.,Staying on task.,Strongly Agree,Strongly Agree,Strongly Agree,"Making sure our priority statements, and POPs are appropriate and measurable. ",Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),,Completely Satisfied,
